name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc
org.apache.tools.ant.MagicNames,1,1,0,0,1,0,0,0,1,0,4,0,0,0,1,0,0,1,0,0
org.apache.tools.ant.Main,21,1,0,13,108,174,1,13,5,0.938888889,570,0.944444444,0,0,0.194805195,1,2,26.19047619,56,6.3333
org.apache.tools.ant.NoBannerLogger,4,2,0,4,12,0,0,4,4,0.333333333,23,1,0,0.769230769,0.875,1,1,5,5,1.75
org.apache.tools.ant.PathTokenizer,3,1,0,2,12,0,2,0,3,0.375,66,1,0,0,0.666666667,0,0,20,19,7
org.apache.tools.ant.Project,99,1,0,173,241,4495,165,20,87,0.982461735,763,0.625,4,0,0.095500459,1,2,7.151515152,16,1.8384
org.apache.tools.ant.ProjectComponent,5,1,11,110,7,4,110,1,5,0.5,23,1,1,0,0.45,0,0,4,3,1.2
org.apache.tools.ant.ProjectHelper,18,1,2,23,63,153,16,9,17,1.019607843,202,0.166666667,0,0,0.222222222,1,5,10.66666667,13,2.7222
org.apache.tools.ant.PropertyHelper,20,1,0,3,48,94,2,2,18,0.789473684,262,1,1,0,0.328571429,1,4,12.75,8,3.1
org.apache.tools.ant.RuntimeConfigurable,21,1,0,11,65,134,7,5,19,0.895454545,200,1,0,0,0.19047619,1,1,8.904761905,15,2.6667
org.apache.tools.ant.Target,23,1,0,23,52,175,20,5,19,0.883116883,161,1,1,0,0.313043478,0,0,6.608695652,8,2
org.apache.tools.ant.Task,30,2,59,124,51,367,121,7,20,0.926724138,154,1,4,0.064516129,0.195833333,1,9,4.8,5,1.3
org.apache.tools.ant.TaskAdapter,6,3,0,6,17,9,2,5,6,0.6,68,1,0,0.823529412,0.416666667,3,5,11,8,2.3333
org.apache.tools.ant.TaskContainer,1,0,5,7,1,0,7,0,1,0,3,0,0,0,1,0,0,1,1,1
org.apache.tools.ant.TypeAdapter,5,0,1,5,5,10,5,0,5,0,7,0,0,0,0.4,0,0,1,1,1
org.apache.tools.ant.UnknownElement,28,3,0,18,86,252,8,12,16,0.882716049,316,1,0,0.425531915,0.25,3,37,11,15,2.5714
org.apache.tools.ant.XmlLogger,15,1,0,12,62,57,0,12,12,0.932539683,236,1,0,0,0.3,0,0,14.13333333,9,3.0667
org.apache.tools.ant.filters.BaseFilterReader,10,3,5,19,21,41,17,2,5,0.925925926,72,1,1,0.529411765,0.228571429,2,4,6.7,4,1.7
org.apache.tools.ant.filters.BaseParamFilterReader,4,4,11,14,7,4,11,3,3,0.666666667,18,1,1,0.894736842,0.5,1,1,3.25,1,0.5
org.apache.tools.ant.filters.ChainableReader,1,0,15,16,1,0,16,0,1,0,3,0,0,0,1,0,0,1,1,1
org.apache.tools.ant.filters.ClassConstants,4,4,0,2,18,6,0,2,4,1,68,1,0,0.888888889,0.75,1,1,15.25,13,3.5
org.apache.tools.ant.filters.ConcatFilter,9,5,0,5,28,22,0,5,8,0.8125,85,1,0,0.72,0.481481481,4,7,8.666666667,9,2.4444
org.apache.tools.ant.filters.EscapeUnicode,5,5,0,3,19,4,0,3,4,0.5,47,1,0,0.857142857,0.7,2,4,8.4,6,1.6
org.apache.tools.ant.filters.ExpandProperties,4,4,0,3,13,6,0,3,4,1,39,1,0,0.888888889,0.75,1,4,8.5,6,1.75
org.apache.tools.ant.filters.HeadFilter,10,5,0,5,25,21,0,5,6,0.925925926,88,1,1,0.692307692,0.375,2,4,7.6,6,2.1
org.apache.tools.ant.filters.LineContains,8,5,0,4,25,8,0,4,5,0.80952381,83,1,0,0.75,0.375,2,5,8.375,9,2.125
org.apache.tools.ant.filters.LineContainsRegExp,8,5,0,8,28,8,0,8,5,0.80952381,80,1,0,0.75,0.375,2,6,9.125,9,2.125
org.apache.tools.ant.filters.PrefixLines,7,5,0,4,19,9,0,4,5,0.833333333,64,1,0,0.782608696,0.476190476,2,5,8.142857143,8,2.1429
org.apache.tools.ant.filters.ReplaceTokens,13,5,0,5,36,36,0,5,7,0.907407407,160,1,0,0.620689655,0.292307692,3,5,10.07692308,14,2.6923
org.apache.tools.ant.filters.StringInputStream,9,2,0,0,22,0,0,0,9,0.5625,102,1,0,0.5,0.388888889,0,0,10.55555556,8,2.7778
org.apache.tools.ant.filters.StripJavaComments,4,4,0,2,7,6,0,2,4,1,62,1,0,0.888888889,0.75,1,1,13.75,17,4.5
org.apache.tools.ant.filters.StripLineBreaks,7,5,0,4,17,9,0,4,5,0.888888889,55,1,0,0.782608696,0.476190476,3,5,6.857142857,5,1.7143
org.apache.tools.ant.filters.StripLineComments,8,5,0,4,25,8,0,4,5,0.80952381,83,1,0,0.75,0.375,2,5,8.375,9,2.125
org.apache.tools.ant.filters.TabsToSpaces,7,5,0,4,18,9,0,4,5,0.916666667,58,1,0,0.782608696,0.476190476,3,5,7.142857143,5,1.7143
org.apache.tools.ant.filters.TailFilter,10,5,0,5,29,25,0,5,6,0.944444444,108,1,1,0.692307692,0.375,2,4,9.5,12,2.8
org.apache.tools.ant.filters.TokenFilter,19,4,0,8,39,73,0,8,19,0.855555556,464,1,1,0.484848485,0.126315789,1,2,7.789473684,11,2.2105
org.apache.tools.ant.filters.util.ChainReaderHelper,9,1,0,15,32,24,4,12,8,0.9,125,0.4,1,0,0.277777778,0,0,13.22222222,21,3.3333
org.apache.tools.ant.filters.util.JavaClassHelper,2,1,0,0,11,1,0,0,2,1,28,1,0,0,0.75,0,0,13,6,3
org.apache.tools.ant.helper.AntXMLContext,26,1,0,3,43,265,1,2,26,0.930909091,120,1,3,0,0.153846154,0,0,4.115384615,3,1.3077
org.apache.tools.ant.helper.ProjectHelper2,4,2,0,10,58,4,2,9,4,1.066666667,498,1,1,0.2,0.55,2,2,32.25,16,5.25
org.apache.tools.ant.helper.ProjectHelperImpl,4,2,0,9,46,0,0,9,2,0.952380952,429,1,3,0.25,0.428571429,0,0,22.5,13,4.5
org.apache.tools.ant.input.DefaultInputHandler,4,1,0,7,21,6,2,5,2,0,53,0,0,0,0.75,0,0,12.75,5,2.5
org.apache.tools.ant.input.InputHandler,1,0,2,6,1,0,6,0,1,0,4,0,0,0,1,0,0,2,1,1
org.apache.tools.ant.input.InputRequest,5,1,1,4,6,6,4,0,5,0.75,22,1,0,0,0.7,0,0,3.6,1,0.8
org.apache.tools.ant.input.MultipleChoiceInputRequest,3,2,0,3,7,0,2,1,3,0,16,1,0,0.6,0.555555556,1,1,4.333333333,1,0.6667
org.apache.tools.ant.input.PropertyFileInputHandler,3,1,0,3,14,1,0,3,2,0.75,36,0.5,0,0,0.666666667,1,1,10.66666667,4,2.3333
org.apache.tools.ant.listener.AnsiColorLogger,3,2,0,2,16,1,0,2,1,1.0625,103,1,0,0.8,0.5,1,1,27,11,6.6667
org.apache.tools.ant.listener.MailLogger,7,2,0,10,66,19,0,10,2,0.833333333,138,1,0,0.611111111,0.367346939,1,1,19.42857143,13,3.5714
org.apache.tools.ant.loader.AntClassLoader2,6,3,0,4,45,13,0,4,1,0.8,162,1,1,0.932432432,0.533333333,2,7,26.5,13,5.3333
org.apache.tools.ant.taskdefs.AbstractCvsTask,41,3,2,15,100,740,2,13,32,0.967391304,362,0.956521739,2,0.411764706,0.195121951,2,5,8.219512195,24,2.3659
org.apache.tools.ant.taskdefs.Ant,23,3,0,16,109,75,2,14,17,0.892561983,354,1,1,0.488888889,0.188405797,3,27,14.30434783,26,3.6522
org.apache.tools.ant.taskdefs.AntStructure,8,3,0,7,52,18,0,7,3,0.857142857,231,1,0,0.777777778,0.303571429,3,3,28,29,6.625
org.apache.tools.ant.taskdefs.Antlib,7,3,0,11,35,15,1,10,4,0.875,73,0.75,0,0.8,0.30952381,3,9,9.714285714,4,1.7143
org.apache.tools.ant.taskdefs.AntlibDefinition,5,3,3,9,8,6,6,3,5,0.75,22,1,0,0.852941176,0.466666667,0,0,3.8,3,1.2
org.apache.tools.ant.taskdefs.Available,20,3,0,12,64,140,0,12,16,0.913875598,279,1,3,0.583333333,0.25,3,19,12.75,25,4.05
org.apache.tools.ant.taskdefs.BUnzip2,3,4,0,5,21,3,0,5,1,1,64,1,0,0.916666667,1,1,2,20.66666667,14,5
org.apache.tools.ant.taskdefs.BZip2,2,4,0,5,11,1,0,5,1,0,23,0,0,0.942857143,1,2,2,11,4,2
org.apache.tools.ant.taskdefs.Basename,5,3,0,5,14,4,0,5,5,0.75,32,1,0,0.848484848,0.533333333,2,2,5.6,8,2.2
org.apache.tools.ant.taskdefs.BuildNumber,6,3,0,5,30,0,0,5,3,0.666666667,93,1,0,0.823529412,0.444444444,1,3,14.66666667,6,2.8333
org.apache.tools.ant.taskdefs.CVSPass,6,3,0,4,28,5,0,4,5,0.8,87,1,0,0.848484848,0.555555556,1,1,10.66666667,10,2.5
org.apache.tools.ant.taskdefs.CallTarget,14,3,0,9,43,0,0,9,14,0.769230769,90,1,1,0.611111111,0.255102041,2,14,6.071428571,3,1.6429
org.apache.tools.ant.taskdefs.Checksum,20,4,0,9,86,126,0,9,15,0.901315789,324,1,0,0.772727273,0.21875,2,9,15.35,31,4.05
org.apache.tools.ant.taskdefs.Chmod,18,5,0,13,53,61,0,13,16,0.666666667,103,1,1,0.813186813,0.268518519,4,25,5.444444444,7,1.5
org.apache.tools.ant.taskdefs.Concat,22,3,0,12,82,139,0,12,18,0.898809524,470,1,1,0.56,0.143356643,2,6,11.22727273,22,3.4091
org.apache.tools.ant.taskdefs.ConditionTask,4,3,0,5,12,2,0,5,4,0.666666667,32,1,0,0.851851852,0.75,2,4,7.25,5,1.75
org.apache.tools.ant.taskdefs.Copy,31,3,1,18,90,359,2,16,24,0.934920635,357,1,2,0.482758621,0.209677419,2,10,10.77419355,23,3.1613
org.apache.tools.ant.taskdefs.Copydir,8,4,0,7,33,14,0,7,7,0.833333333,83,1,0,0.894736842,0.46875,3,5,9.5,9,2.375
org.apache.tools.ant.taskdefs.Copyfile,6,3,0,5,20,7,0,5,6,0.8,46,1,0,0.823529412,0.416666667,2,4,6.833333333,8,2
org.apache.tools.ant.taskdefs.Cvs,1,4,0,1,1,0,0,1,1,0,4,0,0,1,1,0,0,2,0,0
org.apache.tools.ant.taskdefs.DefBase,12,4,1,10,26,0,2,8,11,0.545454545,48,1,0,0.727272727,0.333333333,2,3,3.75,3,1.0833
org.apache.tools.ant.taskdefs.DefaultExcludes,6,3,0,3,16,7,0,3,6,0.84,44,1,0,0.823529412,0.555555556,1,1,6.333333333,10,2.3333
org.apache.tools.ant.taskdefs.Definer,22,5,1,14,68,167,3,12,14,0.909090909,269,1,0,0.65625,0.221590909,4,18,10.86363636,10,2.4091
org.apache.tools.ant.taskdefs.Delete,41,4,0,26,92,0,0,26,38,0.877777778,327,1,0,0.4875,0.080593849,3,37,7.731707317,27,2.2927
org.apache.tools.ant.taskdefs.Deltree,4,3,0,3,14,4,0,3,3,0.666666667,49,1,0,0.875,0.75,1,2,11.75,6,3
org.apache.tools.ant.taskdefs.DependSet,6,4,0,9,28,7,0,9,6,0.8,143,1,0,0.931506849,0.555555556,2,2,22.83333333,36,6.6667
org.apache.tools.ant.taskdefs.Dirname,4,3,0,5,9,2,0,5,4,0.666666667,21,1,0,0.875,0.5,2,2,4.5,3,1.25
org.apache.tools.ant.taskdefs.Ear,7,6,0,11,25,13,0,11,4,0.833333333,59,1,1,0.946428571,0.357142857,3,9,7.714285714,5,1.8571
org.apache.tools.ant.taskdefs.Echo,7,3,0,6,19,9,0,6,7,0.791666667,58,1,0,0.8,0.342857143,2,3,6.714285714,5,2
org.apache.tools.ant.taskdefs.Exec,10,3,0,5,38,29,0,5,7,0.87037037,144,1,0,0.756756757,0.45,2,5,10.3,14,2.4
org.apache.tools.ant.taskdefs.ExecTask,36,3,1,17,98,332,4,13,26,0.912380952,271,1,3,0.4375,0.175,2,13,7.083333333,12,1.9167
org.apache.tools.ant.taskdefs.Execute,27,1,0,24,89,317,12,12,22,0.96875,608,0.9375,4,0,0.142450142,1,1,10.77777778,11,2.8148
org.apache.tools.ant.taskdefs.ExecuteJava,11,1,0,10,50,35,1,9,11,0.877777778,138,1,3,0,0.191919192,1,3,11.63636364,14,2.6364
org.apache.tools.ant.taskdefs.ExecuteOn,23,4,2,18,71,191,2,16,16,0.926136364,363,1,2,0.726190476,0.142857143,3,19,14.82608696,33,3.8696
org.apache.tools.ant.taskdefs.ExecuteStreamHandler,5,0,2,12,5,10,12,0,5,0,7,0,0,0,0.533333333,0,0,1,1,1
org.apache.tools.ant.taskdefs.ExecuteWatchdog,9,1,0,8,19,4,5,3,8,0.675,64,1,1,0,0.288888889,0,0,6.333333333,4,1.4444
org.apache.tools.ant.taskdefs.Exit,8,3,0,4,14,10,0,4,6,0.714285714,57,1,0,0.777777778,0.75,1,4,6.75,11,2.75
org.apache.tools.ant.taskdefs.Expand,10,3,1,13,55,33,1,12,8,0.904761905,183,1,0,0.736842105,0.266666667,2,7,17.5,24,4.8
org.apache.tools.ant.taskdefs.Filter,6,3,0,6,13,5,0,6,5,0.733333333,35,1,0,0.823529412,0.5,2,4,5.166666667,9,2.1667
org.apache.tools.ant.taskdefs.FixCRLF,16,4,0,9,77,54,0,9,11,0.91827957,609,1,1,0.819277108,0.20625,2,5,24,33,6
org.apache.tools.ant.taskdefs.GUnzip,3,4,0,4,17,3,0,4,1,1,48,1,0,0.916666667,1,1,2,15.33333333,10,3.6667
org.apache.tools.ant.taskdefs.GZip,2,4,0,4,9,1,0,4,1,0,19,0,0,0.942857143,1,2,2,9,4,2
org.apache.tools.ant.taskdefs.GenerateKey,14,3,0,6,33,65,0,6,14,0.91025641,213,1,0,0.666666667,0.595238095,2,4,10.07142857,17,2.4286
org.apache.tools.ant.taskdefs.Get,9,3,0,6,49,22,0,6,9,0.875,221,1,0,0.756756757,0.355555556,2,4,17.66666667,35,4.7778
org.apache.tools.ant.taskdefs.ImportTask,5,3,0,8,25,6,0,8,4,0.833333333,66,1,1,0.848484848,0.4,2,3,12.4,11,3
org.apache.tools.ant.taskdefs.Input,7,3,0,7,21,9,0,7,7,0.791666667,47,1,0,0.823529412,0.857142857,2,4,5.857142857,9,2
org.apache.tools.ant.taskdefs.JDBCTask,25,3,1,9,50,240,1,8,20,0.924242424,182,1,2,0.537037037,0.246666667,2,7,6.8,11,1.92
org.apache.tools.ant.taskdefs.Jar,23,5,2,12,95,173,2,10,10,0.902597403,369,1,5,0.810344828,0.158385093,2,28,15.13043478,13,3.4783
org.apache.tools.ant.taskdefs.Java,48,3,0,19,144,582,0,19,38,0.90507365,384,1,4,0.323943662,0.122222222,2,22,7.708333333,27,2.125
org.apache.tools.ant.taskdefs.Javac,75,4,0,26,115,2601,9,17,68,0.976351351,402,1,6,0.478873239,0.205714286,3,14,4.866666667,8,1.4933
org.apache.tools.ant.taskdefs.Javadoc,84,3,0,20,216,2836,0,20,78,0.972252647,1139,0.96969697,5,0.25,0.136904762,2,27,9.821428571,84,2.6786
org.apache.tools.ant.taskdefs.Jikes,2,1,0,5,26,0,0,5,0,0,66,1,2,0,0.6,0,0,30.5,9,4.5
org.apache.tools.ant.taskdefs.JikesOutputParser,12,1,0,4,22,48,1,3,5,0.935064935,76,1,1,0,0.261904762,0,0,5.583333333,6,1.75
org.apache.tools.ant.taskdefs.KeySubst,8,3,0,1,38,20,0,1,8,0.857142857,106,1,0,0.777777778,0.375,1,1,12.625,10,2.75
org.apache.tools.ant.taskdefs.LoadFile,7,3,0,6,30,11,0,6,7,0.833333333,86,1,0,0.8,0.342857143,2,3,11.42857143,13,2.5714
org.apache.tools.ant.taskdefs.LoadProperties,5,3,0,7,36,4,0,7,5,0.75,79,1,0,0.848484848,0.4,2,4,15,14,3.4
org.apache.tools.ant.taskdefs.LogOutputStream,9,2,1,9,16,16,8,1,6,0.910714286,68,1,1,0.111111111,0.377777778,1,1,6.444444444,9,2.2222
org.apache.tools.ant.taskdefs.LogStreamHandler,2,2,0,7,9,1,3,4,2,0,15,0,0,0.909090909,0.666666667,1,3,6.5,2,1
org.apache.tools.ant.taskdefs.MacroDef,14,4,0,11,50,45,1,10,12,0.75,280,1,0,0.695652174,0.25,4,8,9.785714286,15,3
org.apache.tools.ant.taskdefs.MacroInstance,8,3,0,11,75,16,0,11,5,0.920634921,216,1,1,0.777777778,0.35,2,11,24.625,17,5.125
org.apache.tools.ant.taskdefs.Manifest,16,1,0,6,65,14,3,3,16,0.907692308,539,0.307692308,0,0,0.1796875,1,1,12.75,8,2.8125
org.apache.tools.ant.taskdefs.ManifestException,1,3,0,1,2,0,1,0,1,0,5,0,0,1,1,0,0,3,0,0
org.apache.tools.ant.taskdefs.ManifestTask,7,3,0,6,30,5,0,6,7,0.75,97,1,1,0.823529412,0.285714286,1,2,12.28571429,16,3
org.apache.tools.ant.taskdefs.MatchingTask,42,3,11,38,91,0,11,27,40,0.073170732,149,1,1,0.4,0.073412698,2,4,3.5,6,1.1667
org.apache.tools.ant.taskdefs.Mkdir,4,3,0,3,13,4,0,3,3,0.833333333,37,1,0,0.875,0.75,1,2,8.5,5,2.25
org.apache.tools.ant.taskdefs.Move,7,4,0,9,45,21,0,9,1,0,213,0,0,0.904761905,0.714285714,3,18,30.14285714,22,7.2857
org.apache.tools.ant.taskdefs.Pack,9,3,2,5,20,26,2,3,5,0.75,61,1,0,0.756756757,0.444444444,1,2,6.444444444,5,1.6667
org.apache.tools.ant.taskdefs.Parallel,13,3,0,5,40,54,0,5,9,0.923076923,217,1,1,0.682926829,0.230769231,1,1,13.07692308,24,3.5385
org.apache.tools.ant.taskdefs.Patch,11,3,0,10,31,0,0,10,11,0.75,87,1,1,0.717948718,0.454545455,2,5,7.454545455,8,2.1818
org.apache.tools.ant.taskdefs.PathConvert,15,3,0,11,44,69,0,11,12,0.885714286,200,1,2,0.666666667,0.306666667,2,3,10.4,13,2.8667
org.apache.tools.ant.taskdefs.PreSetDef,4,4,0,9,15,2,0,9,4,0.666666667,127,1,1,0.888888889,0.5,2,2,8.75,4,2
org.apache.tools.ant.taskdefs.ProcessDestroyer,7,1,0,1,27,5,1,0,5,0.766666667,107,1,0,0,0.642857143,1,2,12.28571429,7,2.7143
org.apache.tools.ant.taskdefs.Property,35,3,0,14,88,519,4,10,25,0.938502674,311,1,3,0.466666667,0.171428571,3,18,8.514285714,23,2.3714
org.apache.tools.ant.taskdefs.PumpStreamHandler,15,1,2,8,22,67,6,2,9,0.845238095,94,1,0,0,0.516666667,0,0,5.733333333,7,1.4
org.apache.tools.ant.taskdefs.Recorder,8,3,0,7,28,18,0,7,7,0.880952381,90,1,0,0.777777778,0.3125,1,1,8.75,6,2.125
org.apache.tools.ant.taskdefs.RecorderEntry,16,1,0,9,34,76,1,8,13,0.877777778,104,1,0,0,0.25,0,0,6,5,1.75
org.apache.tools.ant.taskdefs.Redirector,21,1,0,12,50,112,2,10,15,0.903125,187,1,1,0,0.226190476,0,0,8.047619048,15,2.2381
org.apache.tools.ant.taskdefs.Rename,5,3,0,5,14,4,0,5,5,0.75,32,1,0,0.848484848,0.533333333,1,2,5.6,6,1.8
org.apache.tools.ant.taskdefs.Replace,19,4,0,8,82,115,0,8,16,0.918803419,322,1,1,0.781609195,0.421052632,3,8,12.26315789,15,3.0526
org.apache.tools.ant.taskdefs.Rmic,47,4,0,23,99,959,4,19,44,0.959782609,323,1,4,0.596491228,0.155319149,3,11,6.255319149,13,1.7447
org.apache.tools.ant.taskdefs.SQLExec,19,4,0,9,92,137,0,9,16,0.941358025,336,1,0,0.724637681,0.216374269,4,11,14.42105263,28,4
org.apache.tools.ant.taskdefs.SendEmail,2,4,0,1,4,1,0,1,2,0,5,0,0,0.966101695,0.75,1,1,2,1,0.5
org.apache.tools.ant.taskdefs.Sequential,3,3,0,2,8,1,0,2,3,0.5,13,1,0,0.903225806,0.666666667,1,1,3.333333333,2,1
org.apache.tools.ant.taskdefs.SignJar,19,3,0,8,56,139,0,8,16,0.94047619,200,1,0,0.595744681,0.378947368,2,6,9.736842105,15,2.7895
org.apache.tools.ant.taskdefs.Sleep,10,3,0,3,15,35,0,3,9,0.888888889,58,1,0,0.756756757,0.4,1,1,5.1,3,1.3
org.apache.tools.ant.taskdefs.StreamPumper,5,1,0,1,10,6,1,0,5,0.8,49,1,0,0,0.5,1,2,8.4,5,1.6
org.apache.tools.ant.taskdefs.SubAnt,23,3,0,13,82,227,0,13,19,0.950413223,212,1,1,0.549019608,0.148550725,2,9,8.652173913,15,2.5217
org.apache.tools.ant.taskdefs.Sync,14,3,0,7,41,19,0,7,9,0.384615385,145,1,0,0.658536585,0.258928571,2,11,8.714285714,7,2.2143
org.apache.tools.ant.taskdefs.Tar,12,4,0,15,80,32,0,15,9,0.962121212,349,0.25,0,0.85,0.260416667,2,6,17.33333333,24,4.3333
org.apache.tools.ant.taskdefs.TaskOutputStream,3,2,0,1,9,0,0,1,1,0.333333333,30,1,1,0.666666667,0.666666667,0,0,8.333333333,4,1.6667
org.apache.tools.ant.taskdefs.Taskdef,1,7,0,2,3,0,0,2,1,0,6,0,0,1,1,1,2,4,0,0
org.apache.tools.ant.taskdefs.TempFile,6,3,0,5,14,7,0,5,6,0.8,29,1,0,0.823529412,0.555555556,1,1,4,4,1.3333
org.apache.tools.ant.taskdefs.Touch,8,3,0,9,33,2,0,9,6,0.714285714,118,1,1,0.8,0.325,2,4,13.875,12,3.625
org.apache.tools.ant.taskdefs.Transform,1,5,0,1,1,0,0,1,1,0,2,0,0,0.988095238,1,0,0,1,0,0
org.apache.tools.ant.taskdefs.Tstamp,5,3,0,5,20,6,0,5,4,0.75,163,1,0,0.848484848,0.7,2,3,6.8,3,1.4
org.apache.tools.ant.taskdefs.Typedef,1,6,1,3,1,0,2,1,1,0,2,0,0,0.983333333,1,0,0,1,0,0
org.apache.tools.ant.taskdefs.Unpack,10,3,2,7,25,29,2,5,6,0.722222222,61,1,0,0.736842105,0.5,2,5,5.8,6,1.7
org.apache.tools.ant.taskdefs.Untar,4,4,0,8,20,4,0,8,3,0.666666667,70,1,0,0.897435897,0.4,2,5,8.75,5,1.75
org.apache.tools.ant.taskdefs.UpToDate,11,3,0,12,34,29,0,12,9,0.833333333,110,1,1,0.717948718,0.327272727,2,7,9.363636364,18,3
org.apache.tools.ant.taskdefs.WaitFor,7,3,0,5,17,11,0,5,7,0.833333333,84,1,0,0.766666667,0.428571429,2,3,7.142857143,7,1.7143
org.apache.tools.ant.taskdefs.War,9,6,0,11,27,28,0,11,6,0.875,67,1,1,0.929824561,0.351851852,3,11,6.888888889,5,1.6667
org.apache.tools.ant.taskdefs.WhichResource,8,3,0,6,23,8,0,6,7,0.714285714,80,1,1,0.777777778,0.5,2,3,9.375,6,2.25
org.apache.tools.ant.taskdefs.XSLTLiaison,3,0,1,2,3,3,2,0,3,1.5,6,0,0,0,0.666666667,0,0,1,1,1
org.apache.tools.ant.taskdefs.XSLTLiaison2,1,0,0,2,1,0,1,1,1,0,3,0,0,0,1,0,0,1,1,1
org.apache.tools.ant.taskdefs.XSLTLogger,1,0,1,1,1,0,1,0,1,0,3,0,0,0,1,0,0,1,1,1
org.apache.tools.ant.taskdefs.XSLTLoggerAware,1,0,0,1,1,0,1,0,1,0,3,0,0,0,1,0,0,1,1,1
org.apache.tools.ant.taskdefs.XSLTProcess,30,4,0,16,85,361,0,16,23,0.957307061,424,1,4,0.697916667,0.238095238,4,16,9.7,15,2.5
org.apache.tools.ant.taskdefs.XmlProperty,27,3,0,6,75,287,0,6,12,0.952488688,266,1,1,0.509433962,0.296296296,3,8,9.074074074,27,2.9259
org.apache.tools.ant.taskdefs.Zip,37,4,1,26,161,468,3,23,22,0.93236715,711,1,2,0.647619048,0.145945946,3,17,17.91891892,38,4.5135
org.apache.tools.ant.taskdefs.compilers.CompilerAdapter,2,0,1,3,2,1,3,0,2,0,4,0,0,0,0.75,0,0,1,1,1
org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,4,1,0,14,21,4,1,13,1,0.666666667,97,1,0,0,0.583333333,0,0,23.5,19,6.5
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,19,1,8,22,92,81,8,14,3,0.920289855,318,1,9,0,0.248120301,0,0,15.47368421,30,4.2105
org.apache.tools.ant.taskdefs.compilers.Gcj,3,2,0,8,24,3,1,7,2,0,52,0,0,0.857142857,1,1,5,17,11,4
org.apache.tools.ant.taskdefs.compilers.Javac12,2,2,0,9,16,1,1,8,2,0,40,0,0,0.9,1,1,1,19.5,5,2.5
org.apache.tools.ant.taskdefs.compilers.Javac13,2,2,0,8,12,1,1,7,2,1,24,1,0,0.9,1,2,2,11,3,1.5
org.apache.tools.ant.taskdefs.compilers.JavacExternal,2,2,0,6,13,1,1,5,2,0,14,0,0,0.9,1,1,5,6.5,2,1
org.apache.tools.ant.taskdefs.compilers.Jikes,2,2,0,7,27,1,1,6,2,0,93,0,0,0.9,1,1,5,46,25,12.5
org.apache.tools.ant.taskdefs.compilers.Jvc,2,2,0,7,23,1,1,6,2,0,51,0,0,0.9,1,1,6,25,11,5.5
org.apache.tools.ant.taskdefs.compilers.Kjc,3,2,0,9,22,3,1,8,2,0,70,0,0,0.857142857,1,1,3,23,10,4.6667
org.apache.tools.ant.taskdefs.compilers.Sj,2,2,0,6,10,1,1,5,2,0,11,0,0,0.9,1,1,3,5,2,1
