name,ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,ck_oo_numberOfPrivateAttributes,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods
org.eclipse.jdt.core.CorrectionEngine,2,0.018164,0,0,0,0.009104,0.027063,0,0,4.801076,0,0,2.02,0,0,8,0,0,2.30032,0,0,2.02,19,146,0,7,1,0,0,0,19,0,37,0.026247,0,0.034349,2.03,2.11,19,4.09,13,0,2.02,0,2.03,0.563131,0,0.0232,0,0.047655,0,5,0.020933,3.18,0.316807,0.026247
org.eclipse.jdt.core.ElementChangedEvent,0,0,0,0,0,0.002949,0,0,0,3.480503,0,0,0,3,0,3,0,0,2.00575,0,0,0,1,17,0,2,2,4,0,0,1,0,4,0,0,0,0,0,5,0,5,2,0,0,0,0.548501,0,0,0,0,0,2,0,0,0.316807,0
org.eclipse.jdt.core.Flags,0,0.010374,0.100612,0,0,0.006029,0.014582,7.09,0,3.636648,0,0,1.02,20,0,22,0,0,2.035303,0,0,1.02,1,114,0,21,1,28,0,0,204,0,27,0.015035,0,0.01245,0,1.33,29,1.02,20,0,1.02,0,7.09,0.548719,0,0,0,0.014773,0,21,0.099662,1.06,0.316807,0.014978
org.eclipse.jdt.core.IAccessRule,0,0.007172,0.012288,1.01,1.01,0.011947,0.014335,1.01,0,5.538981,0.014723,0,1.01,4,0,3,0,0,2.305912,0,0,1.01,0,9,0,3,0,8,0,0,3,0,3,0.01435,0.014376,0.010283,0,1.02,8,1.01,4,0,1.01,0,1.01,0.482712,0,0,0,0.014619,0,3,0.011677,1.02,0.293898,0.014177
org.eclipse.jdt.core.IAnnotatable,0,0,0.226929,0,0,0.005976,0,2.03,0,0.609567,0,0,0,0,0,2,0,0,0.215106,0,0,0,2,4,0,2,0,10,0,0,1,0,2,0,0,0,0,0,12,0,0,0,0,0,2.03,0.035857,0,0,0,0,0,2,0.219024,0,0,0
org.eclipse.jdt.core.IAnnotation,0,0,0.343754,0,0,0.011952,0,3.07,0,0.609567,0,0,0,0,0,4,0,0,0.215106,0,0,0,5,6,0,4,0,21,0,0,6,0,4,0,0,0,0,0,26,0,0,0,0,0,3.07,0.035857,0,0,0,0,0,4,0.332373,0,0,0
org.eclipse.jdt.core.IBuffer,0,0,0.573561,0,0,0.004564,0,9.13,0,3.652759,0,0,0,0,0,20,0,0,1.978362,0,0,0,3,22,0,20,0,29,0,0,190,0,20,0,0,0,0,0,31,0,0,0,0,0,9.13,0.512516,0,0,0,0,0,20,0.569021,0,0.294474,0
org.eclipse.jdt.core.IBufferChangedListener,0,0,0.013887,0,0,0.001763,0,1.01,0,2.221467,0,0,0,0,0,1,0,0,0.530096,0,0,0,1,3,0,1,0,6,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,1.01,0.034018,0,0,0,0,0,1,0.013732,0,0,0
org.eclipse.jdt.core.IBufferFactory,0,0,0.013887,0,0,0.001932,0,1.01,0,2.73075,0,0,0,0,0,1,0,0,0.663875,0,0,0,2,3,0,1,0,8,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,1.01,0.045335,0,0,0,0,0,1,0.013732,0,0,0
org.eclipse.jdt.core.IClassFile,0,0.036865,0.531112,0,0,0.022108,0.057257,9.1,0,7.46725,0,0,3.04,0,0,6,0,0,3.067848,0,0,3.04,8,8,0,6,0,36,0,0,15,0,6,0.056654,0,0.045873,2.04,3.22,44,3.04,0,0,3.04,0,10.14,0.64332,0,0.03719,0,0.058764,0,6,0.548799,3.04,0.316807,0.056654
org.eclipse.jdt.core.IClasspathAttribute,0,0,0.043235,2.02,2.02,0.009477,0,3.03,0,5.793274,0.025176,0,0,2,0,2,0,0,2.545708,0,0,0,0,6,0,2,0,8,0,0,1,0,2,0,0.025129,0.020079,0,0,8,0,2,0,0,0,3.03,0.580636,0,0,0,0,0,2,0.04218,2.02,0.316807,0
org.eclipse.jdt.core.IClasspathContainer,0,0,0.070175,0,0,0.001763,0,3.03,0,2.221467,0,0,0,3,0,4,0,0,0.530096,0,0,0,1,9,0,4,0,13,0,0,6,0,4,0,0,0,0,0,14,0,3,0,0,0,3.03,0.034018,0,0,0,0,0,4,0.069588,0,0,0
org.eclipse.jdt.core.IClasspathEntry,0,0.031508,0.294519,0,0,0.038053,0.043083,5.11,0,8.482793,0,0,4.09,5,0,13,0,0,3.443842,0,0,4.09,2,20,0,13,0,45,0,0,78,0,13,0.043666,0,0.038686,2.02,5.17,47,4.09,5,0,4.09,0,7.13,0.729536,0,0.022077,0,0.042537,0,13,0.31955,4.09,0.317384,0.043584
org.eclipse.jdt.core.ICodeAssist,0,0,0.018084,0,0,0.004713,0,1.01,0,5.072972,0,0,0,0,0,7,0,0,2.379513,0,0,0,6,14,0,7,0,2,0,0,21,0,7,0,0,0,0,0,8,0,0,0,0,0,1.01,0.571264,0,0,0,0,0,7,0.021418,0,0.316807,0
org.eclipse.jdt.core.ICodeCompletionRequestor,0,0,0.013887,0,0,0.001763,0,1.01,0,2.221467,0,0,0,0,0,11,0,0,0.530096,0,0,0,0,60,0,11,0,5,0,0,55,0,11,0,0,0,0,0,5,0,0,0,0,0,1.01,0.034018,0,0,0,0,0,11,0.013732,0,0,0
org.eclipse.jdt.core.ICodeFormatter,0,0,0,0,0,0.001932,0,0,0,2.73075,0,0,0,0,0,1,0,0,0.663875,0,0,0,0,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0.045335,0,0,0,0,0,1,0,0,0,0
org.eclipse.jdt.core.ICompilationUnit,0,0.131089,0.448898,1.03,1.03,0.028911,0.18678,16.24,0,7.903716,0.028557,0,4.06,4,0,29,0,0,3.251642,0,0,4.06,12,35,0,29,0,91,0,0,406,0,29,0.179051,0.028848,0.138596,1.03,5.61,100,4.06,4,0,4.06,0,16.26,0.697517,0,0.023945,0,0.160914,0,29,0.44045,4.09,0.317383,0.178462
org.eclipse.jdt.core.ICompletionRequestor,0,0,0.013887,0,0,0.001763,0,1.01,0,2.221467,0,0,0,0,0,14,0,0,0.530096,0,0,0,1,101,0,14,0,11,0,0,91,0,14,0,0,0,0,0,12,0,0,0,0,0,1.01,0.034018,0,0,0,0,0,14,0.013732,0,0,0
org.eclipse.jdt.core.ICorrectionRequestor,0,0,0,0,0,0.001763,0,0,0,2.221467,0,0,0,0,0,6,0,0,0.530096,0,0,0,0,51,0,6,0,1,0,0,15,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0.034018,0,0,0,0,0,6,0,0,0,0
org.eclipse.jdt.core.IElementChangedListener,0,0,0,0,0,0.001763,0,0,0,2.221467,0,0,0,0,0,1,0,0,0.530096,0,0,0,1,3,0,1,0,4,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0.034018,0,0,0,0,0,1,0,0,0,0
org.eclipse.jdt.core.IField,0,0.01619,0.517821,0,0,0.005637,0.022452,4.04,0,4.043422,0,0,2.03,0,0,6,0,0,2.178065,0,0,2.03,3,8,0,6,0,27,0,0,15,0,6,0.022253,0,0.01913,1.01,2.12,30,2.03,0,0,2.03,0,5.05,0.575416,0,0.049743,0,0.02097,0,6,0.567015,2.03,0.316807,0.022253
org.eclipse.jdt.core.IImportContainer,0,0,0.130712,0,0,0.003265,0,2.02,0,3.480503,0,0,0,0,0,1,0,0,2.00575,0,0,0,4,3,0,1,0,7,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,2.02,0.548501,0,0,0,0,0,1,0.127082,0,0.316807,0
org.eclipse.jdt.core.IImportDeclaration,0,0,0.164309,0,0,0.003265,0,4.04,0,3.480503,0,0,0,0,0,3,0,0,2.00575,0,0,0,4,5,0,3,0,17,0,0,3,0,3,0,0,0,0,0,21,0,0,0,0,0,4.04,0.548501,0,0,0,0,0,3,0.160581,0,0.316807,0
org.eclipse.jdt.core.IInitializer,0,0,0.127037,0,0,0.003265,0,2.03,0,3.480503,0,0,0,0,0,0,0,0,2.00575,0,0,0,1,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2.03,0.548501,0,0,0,0,0,0,0.123677,0,0.316807,0
org.eclipse.jdt.core.IJarEntryResource,0,0.020317,0.116826,0,0,0.009667,0.029293,1.02,0,1.645378,0,0,1.02,0,0,5,0,0,0.48125,0,0,1.02,1,7,0,5,0,6,0,0,10,0,5,0.028861,0,0.019778,1.01,1.07,7,1.02,0,0,1.02,0,2.03,0.054116,0,0.029519,0,0.024042,0,5,0.143118,1.02,0,0.028861
org.eclipse.jdt.core.IJavaElement,0,0.031711,1.083774,1.01,1.01,0.024816,0.042688,27.45,0,8.660989,0.057301,0,3.03,16,0,18,0,0,3.54459,0,0,3.03,4,36,0,18,0,217,0,0,153,0,18,0.042636,0.055308,0.074534,0,3.53,219,3.03,16,0,3.03,0,27.45,0.749376,0,0,0,0.040331,0,18,1.073693,4.04,0.317384,0.042611
org.eclipse.jdt.core.IJavaElementDelta,0,0.051975,0.031546,4.04,4.04,0.023761,0.06161,2.02,0,6.753882,0.127557,0,2.02,26,0,12,0,0,2.950443,0,0,2.02,2,40,0,12,0,27,0,0,66,0,12,0.062431,0.126284,0.107973,1.01,2.21,29,2.02,26,0,2.02,0,3.03,0.657975,0,0.013245,0,0.062625,0,12,0.044412,4.06,0.316807,0.062454
org.eclipse.jdt.core.IJavaModel,0,0,0.056202,0,0,0.00316,0,4.04,0,3.480503,0,0,0,0,0,10,0,0,2.00575,0,0,0,5,12,0,10,0,23,0,0,45,0,10,0,0,0,0,0,27,0,0,0,0,0,4.04,0.548501,0,0,0,0,0,10,0.054916,0,0.316807,0
org.eclipse.jdt.core.IJavaModelMarker,0,0,0.038591,1.01,1.01,0.008919,0,2.03,0,3.918805,0.014723,0,0,10,0,0,0,0,2.100567,0,0,0,1,13,0,0,0,8,0,0,0,0,0,0,0.014376,0.010283,0,0,9,0,10,0,0,0,2.03,0.55244,0,0,0,0,0,0,0.038509,1.02,0.316807,0
org.eclipse.jdt.core.IJavaModelStatus,0,0,0.083116,0,0,0.003329,0,3.05,0,3.989787,0,0,0,0,0,4,0,0,2.139529,0,0,0,1,6,0,4,0,36,0,0,6,0,4,0,0,0,0,0,37,0,0,0,0,0,3.05,0.559819,0,0,0,0,0,4,0.082099,0,0.316807,0
org.eclipse.jdt.core.IJavaModelStatusConstants,0,0,0.046934,3.04,3.04,0.006725,0,3.05,0,5.96893,0.159089,0,0,45,0,0,0,0,2.773596,0,0,0,0,47,0,0,0,49,0,0,0,0,0,0,0.15826,0.120524,0,0,49,0,45,0,0,0,3.05,0.66222,0,0,0,0,0,0,0.046255,3.04,0.317383,0
org.eclipse.jdt.core.IJavaProject,0,0.082845,0.400909,0,0,0.055436,0.099209,17.43,0,9.999346,0,0,4.09,0,0,48,0,0,4.125965,0,0,4.09,12,66,0,48,0,101,0,0,1128,0,48,0.084902,0,0.082285,0,7.87,110,4.09,0,0,4.09,0,17.43,0.892059,0,0,0,0.085804,0,48,0.400402,4.09,0.326813,0.084323
org.eclipse.jdt.core.ILocalVariable,0,0,0,0,0,0.003438,0,0,0,4.09007,0,0,0,0,0,3,0,0,2.220856,0,0,0,4,5,0,3,0,1,0,0,3,0,3,0,0,0,1.01,0,5,0,0,0,0,0,1.01,0.584358,0,0.049743,0,0,0,3,0.053205,0,0.316807,0
org.eclipse.jdt.core.IMember,0,0.035889,0.178245,0,0,0.007485,0.051725,6.09,0,5.676636,0,0,3.04,0,0,11,0,0,2.547476,0,0,3.04,10,13,0,11,0,51,0,0,55,0,11,0.051134,0,0.040809,1.01,3.34,60,3.04,0,0,3.04,0,7.1,0.587153,0,0.023945,0,0.047114,0,11,0.194869,3.04,0.316807,0.051277
org.eclipse.jdt.core.IMemberValuePair,0,0,0.18135,1.01,1.01,0.02853,0,2.05,0,1.810354,0.038979,0,0,14,0,3,0,0,0.678396,0,0,0,0,19,0,3,0,14,0,0,3,0,3,0,0.047918,0.049518,0,0,14,0,14,0,0,0,2.05,0.126101,0,0,0,0,0,3,0.176961,1.01,0.000033,0
org.eclipse.jdt.core.IMethod,0,0.07333,0.431567,0,0,0.010522,0.090235,6.1,0,7.400804,0,0,3.04,0,0,17,0,0,3.158757,0,0,3.04,5,19,0,17,0,34,0,0,136,0,17,0.075178,0,0.070969,2.02,3.58,39,3.04,0,0,3.04,0,7.12,0.692761,0,0.109651,0,0.07166,0,17,0.486022,3.04,0.316808,0.074503
org.eclipse.jdt.core.IOpenable,0,0.01049,0.702852,0,0,0.003353,0.013807,14.15,0,3.92222,0,0,1.01,0,0,9,0,0,2.102917,0,0,1.01,2,11,0,9,0,47,0,0,36,0,9,0.013681,0,0.012117,0,1.08,48,1.01,0,0,1.01,0,14.15,0.552889,0,0,0,0.012072,0,9,0.705574,1.01,0.316807,0.013715
org.eclipse.jdt.core.IPackageDeclaration,0,0,0.200326,0,0,0.003543,0,4.04,0,4.09007,0,0,0,0,0,1,0,0,2.220856,0,0,0,3,3,0,1,0,11,0,0,0,0,1,0,0,0,1.01,0,14,0,0,0,0,0,4.05,0.584358,0,0.049743,0,0,0,1,0.19356,0,0.316807,0
org.eclipse.jdt.core.IPackageFragment,0,0,0.139525,0,0,0.003411,0,7.09,0,5.112336,0,0,0,1,0,12,0,0,2.458558,0,0,0,8,15,0,12,0,51,0,0,66,0,12,0,0,0,0,0,58,0,1,0,0,0,6.08,0.593319,0,0,0,0,0,12,0.121268,0,0.316807,0
org.eclipse.jdt.core.IPackageFragmentRoot,0,0,0.547881,0,0,0.005483,0,12.16,0,4.954228,0,0,0,8,0,13,0,0,2.696356,0,0,0,6,29,0,13,0,51,0,0,78,0,13,0,0,0,0,0,57,0,8,0,0,0,12.16,0.725027,0,0,0,0,0,13,0.540151,0,0.37604,0
org.eclipse.jdt.core.IParent,0,0,0.096538,0,0,0.003265,0,4.04,0,3.480503,0,0,0,0,0,2,0,0,2.00575,0,0,0,2,4,0,2,0,26,0,0,1,0,2,0,0,0,0,0,28,0,0,0,0,0,4.04,0.548501,0,0,0,0,0,2,0.098433,0,0.316807,0
org.eclipse.jdt.core.IProblemRequestor,0,0,0.055701,0,0,0.002056,0,3.03,0,2.785145,0,0,0,0,0,4,0,0,0.672747,0,0,0,1,6,0,4,0,9,0,0,6,0,4,0,0,0,0,0,10,0,0,0,0,0,3.03,0.044858,0,0,0,0,0,4,0.056524,0,0,0
org.eclipse.jdt.core.IRegion,0,0,0.107702,0,0,0.002949,0,5.1,0,3.480503,0,0,0,0,0,4,0,0,2.00575,0,0,0,1,6,0,4,0,18,0,0,6,0,4,0,0,0,0,0,19,0,0,0,0,0,5.1,0.548501,0,0,0,0,0,4,0.104425,0,0.316807,0
org.eclipse.jdt.core.ISourceManipulation,0,0,0,0,0,0.003265,0,0,0,3.480503,0,0,0,0,0,4,0,0,2.00575,0,0,0,2,6,0,4,0,4,0,0,6,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0.548501,0,0,0,0,0,4,0,0,0.316807,0
org.eclipse.jdt.core.ISourceRange,0,0,0.197362,0,0,0.003265,0,4.06,0,3.480503,0,0,0,0,0,2,0,0,2.00575,0,0,0,0,4,0,2,0,26,0,0,1,0,2,0,0,0,0,0,26,0,0,0,0,0,4.06,0.548501,0,0,0,0,0,2,0.190615,0,0.316807,0
org.eclipse.jdt.core.ISourceReference,0,0,0.216052,0,0,0.007143,0,5.06,0,5.156119,0,0,0,0,0,3,0,0,2.519558,0,0,0,2,5,0,3,0,21,0,0,3,0,3,0,0,0,0,0,23,0,0,0,0,0,5.06,0.615293,0,0,0,0,0,3,0.211941,0,0.316807,0
org.eclipse.jdt.core.IType,0,0.017999,0.306259,0,0,0.019043,0.02499,10.16,0,7.762483,0,0,2.03,0,0,54,0,0,2.28006,0,0,2.03,16,101,0,54,0,96,0,0,1431,0,54,0.024476,0,0.020222,1.01,3.56,107,2.03,0,0,2.03,0,11.17,0.320241,0,0.049743,0,0.022904,0,54,0.357633,2.03,0.02429,0.024483
org.eclipse.jdt.core.ITypeHierarchy,0,0,0.010867,0,0,0.003559,0,1.01,0,4.044181,0,0,0,0,0,24,0,0,2.148401,0,0,0,3,26,0,24,0,10,0,0,276,0,24,0,0,0,0,0,11,0,0,0,0,0,1.01,0.559341,0,0,0,0,0,24,0.010606,0,0.316807,0
org.eclipse.jdt.core.ITypeHierarchyChangedListener,0,0,0,0,0,0.001763,0,0,0,2.221467,0,0,0,0,0,1,0,0,0.530096,0,0,0,1,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0.034018,0,0,0,0,0,1,0,0,0,0
org.eclipse.jdt.core.ITypeParameter,0,0,0.38952,0,0,0.005282,0,7.09,0,4.117087,0,0,0,0,0,3,0,0,2.22191,0,0,0,5,5,0,3,0,22,0,0,3,0,3,0,0,0,0,0,27,0,0,0,0,0,7.09,0.582006,0,0,0,0,0,3,0.378102,0,0.316807,0
org.eclipse.jdt.core.ITypeRoot,0,0,0.18135,0,0,0.023301,0,2.08,0,1.526707,0,0,0,0,0,3,0,0,0.419435,0,0,0,9,5,0,3,0,22,0,0,3,0,3,0,0,0,0,0,30,0,0,0,0,0,2.08,0.040178,0,0,0,0,0,3,0.176961,0,0,0
org.eclipse.jdt.core.IWorkingCopy,0,0,0,0,0,0.006488,0,0,0,5.26041,0,0,0,0,0,15,0,0,2.526414,0,0,0,5,25,0,15,0,6,0,0,105,0,15,0,0,0,0,0,10,0,0,0,0,0,0,0.608787,0,0,0,0,0,15,0,0,0.316807,0
org.eclipse.jdt.core.JDTCompilerAdapter,3,0.023282,0,0,1.07,0.044187,0,0,0.011446,6.367328,0,2.04,2.05,0,0,7,0.030678,1.07,1.538467,0,0,2.05,6,363,0,6,2,0,0,0,9,0,83,0.030991,0.012643,0.122816,3.06,2.2,6,6.53,10,8,0,0,3.06,0.103139,0,0.042451,0,0.092332,0,1,0.04039,11.9,0,0.031086
org.eclipse.jdt.core.JavaConventions,1,0.031149,0.032626,0,1.01,0.078933,0.030498,2.02,0.012658,9.361305,0,0,2.1,0,0,23,0,1.01,3.58921,0,0,2.1,18,237,0,22,1,11,0,0,229,0,57,0.030674,0.012151,0.158468,6.07,4.67,28,5.16,3,3,2.1,0,8.09,0.729625,0,0.239434,0,0.207692,0,21,0.287003,6.39,0.326235,0.030674
org.eclipse.jdt.core.JavaCore,11,0.3196,0.292921,31.46,33.49,0.975266,0.343975,19.31,0.028201,33.466669,0.90027,4.12,15.45,179,0,90,0.075207,1.01,38.131163,0,0,15.45,59,1316,0,89,2,70,0,0,3892,0,266,0.364477,1.087739,1.176361,14.29,50.73,119,29.77,182,2,14.35,0,26.51,1.578709,0,0.609317,0,0.943686,0,78,0.75373,53.28,0.319682,0.36704
org.eclipse.jdt.core.JavaModelException,0,0,0.812025,0,0,0.003925,0,19.47,0,3.918181,0,0,0,0,0,9,0,0,2.402938,0,0,0,2,71,0,6,2,176,0,0,13,0,29,0,0,0,0,0,177,0,2,1,0,0,19.47,0.694394,0,0,0,0,0,6,0.806388,0,0.37604,0
org.eclipse.jdt.core.NamingConventions,5,0,0,0,0,0.011297,0,0,0,4.431856,0,0,0,0,0,22,0,0,2.229215,0,0,0,7,244,0,21,1,0,0,0,208,0,43,0,0,0.012821,1.01,0,7,0,3,3,0,0,1.01,0.561875,0,0.015794,0,0,0,16,0.014298,1.03,0.316807,0
org.eclipse.jdt.core.Signature,17,0.049704,0.941243,3.04,4.06,0.090045,0.011391,12.17,0.036071,12.670113,0.032748,2.09,2.11,42,0,71,0.020939,2.02,4.191254,0,0,2.11,4,1415,0,70,1,45,0,0,2097,0,112,0.021737,0.056856,0.141195,3.03,12.98,48,5.14,54,12,1.02,0,14.19,0.689864,0,0.050086,0,0.073726,0,53,0.988951,14.22,0.316807,0.021724
org.eclipse.jdt.core.ToolFactory,0,0.047437,0.090282,1.02,1.02,0.103651,0.024201,7.07,0,6.627323,0,0,3.03,2,0,14,0,0,2.931388,0,0,3.03,26,152,0,13,1,7,0,0,76,0,55,0.059707,0,0.072634,2.02,3.31,33,5.13,2,0,3.03,0,9.09,0.673246,0,0.134963,0,0.083307,0,13,0.237836,5.41,0.317383,0.059691
org.eclipse.jdt.core.WorkingCopyOwner,0,0.048276,0.571066,0,0,0.02147,0.073285,6.15,0,7.5454,0,0,4.05,0,2,6,0,0,3.220335,0,0,4.05,16,25,0,5,1,52,0,0,10,0,13,0.072244,0,0.053583,3.11,4.15,61,6.12,0,0,4.05,0,9.21,0.720852,0,0.260118,0,0.241198,0,5,0.841248,4.23,0.326235,0.072207
org.eclipse.jdt.core.compiler.BuildContext,0,0,0,0,0,0.014378,0,0,0,1.801303,0,0,0,0,0,8,0,0,1.607559,0,0,0,3,54,6,7,2,2,0,0,21,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0.523373,0,0,0,0,2,7,0,0,0.316807,0
org.eclipse.jdt.core.compiler.CategorizedProblem,0,0.010374,0.084144,2.02,2.02,0.045004,0.014582,5.58,0,5.46622,0.030818,0,1.02,16,1,5,0,0,2.346554,0,0,1.02,3,26,0,4,1,60,0,0,6,0,5,0.015035,0.028252,0.025271,1.02,1.05,62,1.02,16,0,1.02,0,5.59,0.500545,0,0.016293,0,0.014773,0,4,0.087432,2.08,0.293898,0.014978
