name,ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,ck_oo_numberOfPrivateAttributes,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods
org.apache.lucene.analysis.StopFilter,0,0.096776,0.082251,0,3.04,0.108139,0.075523,3.04,0.101801,5.30913,0,2.02,5.1,0,0,11,0.065096,3.04,1.814256,0,0,5.15,4,60,1,7,3,14,0,0,13,0,22,0.137522,0.103532,0.360248,1.01,5.3,18,6.33,3,3,3.08,0,4.05,0.316707,2.02,0.028465,0.057725,0.36558,3,7,0.110117,7.81,0.031092,0.140936
org.apache.lucene.analysis.TeeTokenFilter,0,0,0,0,0,0.007119,0,0,0,2.651119,0,0,0,0,0,2,0,0,1.831463,0,0,0,4,13,1,1,3,0,0,0,0,0,5,0,0,0.17703,0,0,4,0,1,0,0,0,0,0.545843,0,0,0,0,3,1,0,1.01,0.273376,0
org.apache.lucene.analysis.Token,4,0.357275,1.057232,1.01,4.06,0.11359,0.385208,29.56,0.119033,7.525929,0,2.04,8.35,1,0,49,0.028911,3.04,2.544486,0,0,8.41,2,369,0,41,1,83,0,0,74,0,69,0.396659,0.11041,0.343011,2.02,10.19,85,8.6,11,3,8.31,0,30.58,0.425707,0,0.270539,0,0.412688,0,37,1.289842,11.4,0.031118,0.402668
org.apache.lucene.analysis.TokenFilter,0,0,0.406764,0,0,0.004288,0.142857,12.14,0,3.648865,0,0,1.01,0,27,3,0,0,1.31689,12.14,0,2.02,1,13,0,2,2,27,0.212428,0,0,0,5,0.156593,0,0.14327,0,0,28,2.03,1,0,1.01,0,12.14,0.26014,3.03,0,0.200582,0.152186,2,2,0.40984,2.05,0.031858,0.142857
org.apache.lucene.analysis.TokenStream,0,0.036072,0.952747,0,0,0.013504,0.056121,27.49,0,3.69943,0,0,2.02,0,7,5,0,0,1.339915,1.05,0,2.02,2,19,0,4,1,83,0,0,6,0,9,0.052347,0,0.250272,1.01,2.05,85,3.06,0,0,2.02,0,27.5,0.255617,0,0.043478,0,0.086821,0,4,0.929346,4.15,0.03109,0.054398
org.apache.lucene.analysis.Tokenizer,0,0,0.144023,0,0,0.004757,0.045655,5.09,0,2.766931,0,0,1.01,0,9,4,0,0,1.070759,4.05,0,1.01,1,13,0,2,2,13,0.074031,0,0,0,5,0.028105,0,0.024076,0,0,14,1.01,1,0,1.01,0,5.09,0.226285,2.02,0,0.057725,0.029757,3,2,0.1471,1.03,0.03109,0.029109
org.apache.lucene.analysis.WhitespaceAnalyzer,0,0.020168,0.030813,0,0,0.002643,0.029805,3.04,0,1.405652,0,0,1.01,0,0,3,0,0,0.377828,0,0,1.01,4,14,0,2,2,5,0,0,1,0,7,0.028105,0,0.024076,1.01,1.01,9,1.04,0,0,1.01,0,4.05,0.034499,3.04,0.028465,0.058468,0.029757,3,2,0.05978,1.09,0,0.029109
org.apache.lucene.analysis.WhitespaceTokenizer,0,0,0,0,0,0.001321,0,0,0,0.884702,0,0,0,0,0,2,0,0,0.226138,0,0,0,1,8,1,1,4,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0.017694,2.03,0,0.057725,0,6,0,0,0,0,0
org.apache.lucene.analysis.WordlistLoader,0,0.021687,0.026696,0,0,0.018471,0.03363,2.03,0,3.262747,0,1.01,2.04,0,0,4,0.011883,0,0.818039,0,0,2.04,0,57,0,3,1,7,0,0,3,0,16,0.025226,0,0.033011,1.01,2.17,7,3.07,0,0,3.05,0,3.04,0.06196,0,0.013632,0,0.036664,0,3,0.037114,3.38,0,0.025395
org.apache.lucene.analysis.br.BrazilianAnalyzer,0,0,0,0,0,0.023199,0,0,0,2.863218,0,0,0,1,0,8,0,0,1.463544,0,0,0,8,53,0,4,2,0,0,0,0,0,18,0,0,0,1.01,0,8,0,3,2,0,0,1.01,0.361822,3.05,0.013632,0.058468,0,4,4,0.01037,0,0.242286,0
org.apache.lucene.analysis.br.BrazilianStemFilter,0,0,0,0,1.01,0.026216,0,0,0.243494,4.907522,0,0,0,0,0,3,0,1.01,2.237448,0,0,1.01,4,26,1,1,3,1,0,0,0,0,11,0.013736,0.244556,0.189205,0,0,5,3.07,2,2,0,0,0,0.535903,2.02,0,0.057725,0.248016,3,1,0,2.06,0.273376,0
org.apache.lucene.analysis.br.BrazilianStemmer,16,0,0,0,0,0.01738,0,0,0,2.204616,0,0,0,0,0,19,0,0,0.520171,0,0,0,0,761,0,18,1,1,0,0,97,0,26,0,0,0,0,0,1,0,5,5,0,0,0,0.032521,0,0,0,0,0,1,0,0,0,0
org.apache.lucene.analysis.cjk.CJKAnalyzer,0,0,0,0,0,0.010521,0,0,0,2.223676,0,0,0,1,0,3,0,0,1.320708,0,0,0,4,22,0,1,2,0,0,0,0,0,6,0,0,0,0,0,4,0,2,1,0,0,0,0.354555,3.05,0,0.058468,0,4,1,0,0,0.242286,0
org.apache.lucene.analysis.cjk.CJKTokenizer,0,0,0,0,0,0.010834,0,0,0,2.848142,0,0,0,0,0,2,0,0,1.770356,0,0,0,2,112,1,1,3,1,0,0,0,0,8,0,0,0.17703,0,0,3,1.01,9,9,0,0,0,0.510671,2.03,0,0.057725,0.226957,4,1,0,1.01,0.273376,0
org.apache.lucene.analysis.cn.ChineseAnalyzer,0,0,0,0,0,0.009963,0,0,0,2.223676,0,0,0,0,0,2,0,0,1.320708,0,0,0,4,9,0,1,2,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0.354555,3.05,0,0.058468,0,4,1,0,0,0.242286,0
org.apache.lucene.analysis.cn.ChineseFilter,0,0,0,0,0,0.025252,0,0,0,2.48447,0,0,0,1,0,2,0,0,1.690072,0,0,0,3,35,1,1,3,1,0,0,0,0,11,0,0,0.17703,0,0,4,0,2,1,0,0,0,0.506752,2.02,0,0.057725,0,3,1,0,1.01,0.273376,0
org.apache.lucene.analysis.cn.ChineseTokenizer,2,0,0,0,0,0.013057,0,0,0,3.840352,0,0,0,0,0,4,0,0,2.017468,0,0,0,2,58,1,3,3,1,0,0,0,0,8,0,0,0.186645,0,0,3,1.01,9,9,0,0,0,0.52884,2.03,0,0.057725,0.226957,4,1,0,2.02,0.273376,0
org.apache.lucene.analysis.compound.CompoundWordTokenFilterBase,0,0,0,0,0,0.029005,0,0,0,1.217619,0,0,0,3,2,13,0,0,0.696918,0,0,0,4,90,1,7,3,2,0,0,19,0,35,0,0,0.17703,0,0,6,1.01,9,0,0,0,0,0.21004,0,0,0,0.226957,3,2,0,1.01,0.031117,0
org.apache.lucene.analysis.compound.DictionaryCompoundWordTokenFilter,0,0,0,0,0,0.01901,0,0,0,0.593153,0,0,0,0,0,5,0,0,0.24727,0,0,0,4,46,10,1,4,0,0,0,0,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0.053923,0,0,0,0,9,0,0,0,0.000027,0
org.apache.lucene.analysis.compound.HyphenationCompoundWordTokenFilter,0,0,0,0,0,0.036186,0,0,0,0.593153,0,0,0,0,0,8,0,0,0.24727,0,0,0,6,94,10,4,4,0,0,0,6,0,24,0,0,0,0,0,6,0,1,1,0,0,0,0.053923,0,0,0,0,9,3,0,0,0.000027,0
org.apache.lucene.analysis.compound.hyphenation.ByteVector,0,0,0,0,0,0.021011,0,0,0,0.593153,0,0,0,0,0,11,0,0,0.24727,0,0,0,0,65,0,7,1,1,0,0,0,0,12,0,0,0,0,0,1,0,4,4,0,0,0,0.053923,0,0,0,0,0,7,0,0,0.000027,0
org.apache.lucene.analysis.compound.hyphenation.CharVector,0,0,0,0,0,0.022679,0,0,0,0.593153,0,0,0,0,0,13,0,0,0.24727,0,0,0,0,73,0,9,1,2,0,0,0,0,15,0,0,0,0,0,2,0,4,4,0,0,0,0.053923,0,0,0,0,0,9,0,0,0.000027,0
org.apache.lucene.analysis.compound.hyphenation.Hyphen,0,0,0,0,0,0.011506,0,0,0,0.593153,0,0,0,3,0,3,0,0,0.24727,0,0,0,0,29,0,1,1,1,0,0,0,0,8,0,0,0,0,0,1,0,3,0,0,0,0,0.053923,0,0,0,0,0,1,0,0,0.000027,0
org.apache.lucene.analysis.compound.hyphenation.Hyphenation,0,0,0,0,0,0.009005,0,0,0,0.593153,0,0,0,0,0,3,0,0,0.24727,0,0,0,0,13,0,2,1,2,0,0,0,0,3,0,0,0,0,0,2,0,2,2,0,0,0,0.053923,0,0,0,0,0,2,0,0,0.000027,0
org.apache.lucene.analysis.compound.hyphenation.HyphenationDTDGenerator,0,0,0,0,0,0.087267,0,0,0,0.873038,0,0,0,1,0,2,0,0,28.375556,0,0,0,0,74,0,1,1,1,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0.333809,0,0,0,0,0,1,0,0,0.279913,0
org.apache.lucene.analysis.compound.hyphenation.HyphenationException,0,0,0,0,0,0.005336,0,0,0,0.593153,0,0,0,0,0,1,0,0,0.24727,0,0,0,0,5,0,0,3,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0.053923,0,0,0,0,0,0,0,0,0.000027,0
org.apache.lucene.analysis.compound.hyphenation.HyphenationTree,0,0,0,0,0,0.079209,0,0,0,0.593153,0,0,0,0,0,15,0,0,0.24727,0,0,0,7,256,9,14,2,1,0,0,61,0,55,0,0,0,0,0,8,0,5,2,0,0,0,0.053923,0,0,0,0,18,9,0,0,0.000027,0
org.apache.lucene.analysis.compound.hyphenation.PatternConsumer,0,0,0,0,0,0.009172,0,0,0,0.593153,0,0,0,0,0,3,0,0,0.24727,0,0,0,0,5,0,3,0,2,0,0,3,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0.053923,0,0,0,0,0,3,0,0,0.000027,0
org.apache.lucene.analysis.compound.hyphenation.PatternParser,1,0,0,0,0,0.087267,0,0,0,0.873038,0,0,0,0,0,24,0,0,28.375556,0,0,0,4,290,0,22,2,1,0,0,203,0,78,0,0,0.690343,0,0,5,0,11,0,0,0,0,0.333809,0,0,0,0,0,15,0,1.01,0.279913,0
org.apache.lucene.analysis.compound.hyphenation.TernaryTree,3,0,0,0,0,0.110559,0,0,0,0.593153,0,0,0,0,1,23,0,0,0.24727,0,0,0,1,279,0,22,1,1,0,0,117,0,42,0,0,0,0,0,2,0,9,0,0,0,0,0.053923,0,0,0,0,0,17,0,0,0.000027,0
org.apache.lucene.analysis.cz.CzechAnalyzer,0,0,0,0,0,0.018886,0,0,0,3.567267,0,0,0,1,0,6,0,0,1.630982,0,0,1.01,7,63,0,2,2,0,0,0,0,0,18,0.013736,0,0.012175,2.02,0,7,1.03,2,1,0,0,2.02,0.37233,3.05,0.028343,0.058468,0.013676,4,2,0.024835,1.03,0.242286,0
org.apache.lucene.analysis.de.GermanAnalyzer,0,0,0.010102,0,0,0.004811,0,1.01,0,2.064253,0,0,0,1,0,8,0,0,1.321201,0,0,0,8,47,0,4,2,0,0,0,0,0,18,0,0,0,1.01,0,8,0,3,2,0,0,2.02,0.3638,3.05,0.013632,0.058468,0,4,4,0.02047,0,0.242286,0
org.apache.lucene.analysis.de.GermanStemFilter,0,0,0,0,1.01,0.008663,0.014199,0,0.243494,2.734168,0,0,1.01,0,0,5,0,1.01,0.994913,0,0,1.02,4,40,1,3,3,1,0,0,0,0,13,0.013736,0.244556,0.189205,0,0,5,2.07,2,2,1.01,0,0,0.201124,2.02,0,0.057725,0.240633,3,3,0,2.13,0.03109,0.013943
org.apache.lucene.analysis.de.GermanStemmer,6,0,0,0,0,0.006587,0,0,0,2.045194,0,0,0,0,0,8,0,0,0.520664,0,0,0,0,172,0,7,1,1,0,0,19,0,24,0,0,0,0,0,1,0,2,2,0,0,0,0.041766,0,0,0,0,0,0,0,0,0,0
org.apache.lucene.analysis.el.GreekAnalyzer,1,0,0,0,0,0.032576,0,0,0,1.338973,0,0,0,0,0,6,0,0,1.09457,0,0,0,6,148,0,2,2,0,0,0,1,0,16,0,0,0,0,0,6,0,27,27,0,0,0,0.336861,3.05,0,0.058468,0,4,1,0,0,0.242286,0
org.apache.lucene.analysis.el.GreekCharsets,0,0,0,0,0,0.067446,0,0,0,1.338973,0,0,0,3,0,2,0,0,1.09457,0,0,0,0,384,0,1,1,2,0,0,0,0,3,0,0,0,0,0,2,0,3,0,0,0,0,0.336861,0,0,0,0,0,1,0,0,0.242286,0
org.apache.lucene.analysis.el.GreekLowerCaseFilter,0,0,0,0,0,0.009519,0,0,0,1.96344,0,0,0,0,0,2,0,0,1.544218,0,0,0,4,23,1,1,3,1,0,0,0,0,7,0,0,0.17703,0,0,5,1.04,1,0,0,0,0,0.492977,2.02,0,0.057725,0.226957,3,1,0,1.01,0.273376,0
org.apache.lucene.analysis.fr.ElisionFilter,0,0,0,0,0,0.150146,0,0,0,1.541333,0,0,0,0,0,5,0,0,1.466253,0,0,0,3,47,1,2,3,0,0,0,0,0,21,0,0,0.17703,0,0,3,1.07,2,2,0,0,0,0.493014,1.01,0,0.031409,0.226957,3,2,0,1.05,0.273376,0
org.apache.lucene.analysis.fr.FrenchAnalyzer,0,0,0,0,0,0.028966,0,0,0,4.088216,0,0,0,1,0,7,0,0,1.782671,0,0,1.01,8,56,0,4,2,0,0,0,0,0,18,0.013736,0,0.012175,1.01,0,8,1.01,3,2,0,0,1.01,0.389135,3.05,0.013632,0.058468,0.013676,4,4,0.01037,1.03,0.242286,0
org.apache.lucene.analysis.fr.FrenchStemFilter,0,0,0,0,1.01,0.015834,0,0,0.243494,4.26798,0,0,0,0,0,5,0,1.01,2.094611,0,0,1.01,4,34,1,3,3,1,0,0,0,0,15,0.013736,0.244556,0.189205,0,0,5,3.05,2,2,0,0,0,0.528636,2.02,0,0.057725,0.248016,3,3,0,2.07,0.273376,0
org.apache.lucene.analysis.fr.FrenchStemmer,19,0,0,0,0,0.009963,0,0,0,2.223676,0,0,0,0,0,21,0,0,1.320708,0,0,0,0,453,0,20,1,1,0,0,30,0,36,0,0,0,0,0,1,0,8,8,0,0,0,0.354555,0,0,0,0,0,0,0,0,0.242286,0
org.apache.lucene.analysis.miscellaneous.EmptyTokenStream,0,0.207394,0,0,0,0.010192,0.217907,0,0,0.93431,0,0,1.03,0,0,2,0,0,0.608759,0,0,1.03,2,6,0,1,2,1,0,0,0,0,2,0.213074,0,0.17703,0,1.06,3,1.03,0,0,1.03,0,0,0.20038,1.03,0,0.245121,0.226957,3,1,0,1.06,0.031858,0.213252
org.apache.lucene.analysis.miscellaneous.PrefixAndSuffixAwareTokenFilter,0,0,0,0,0,0.015594,0,0,0,0.93431,0,0,0,0,0,6,0,0,0.608759,0,0,0,3,29,0,5,2,0,0,0,4,0,14,0,0,0.17703,0,0,3,0,1,1,0,0,0,0.20038,0,0,0,0,1,5,0,1.01,0.031858,0
org.apache.lucene.analysis.miscellaneous.PrefixAwareTokenFilter,0,0,0,0,0,0.034809,0,0,0,0.93431,0,0,0,0,0,9,0,0,0.608759,0,0,0,3,63,0,8,2,1,0,0,0,0,21,0,0,0.17703,1.01,0,4,1.03,4,4,0,0,1.01,0.20038,0,0.247572,0,0.226957,1,8,0.246652,1.04,0.031858,0
org.apache.lucene.analysis.miscellaneous.SingleTokenTokenStream,0,0,0,0,0,0.013387,0,0,0,0.93431,0,0,0,0,0,5,0,0,0.608759,0,0,0,2,25,0,4,2,0,0,0,0,0,6,0,0,0.17703,0,0,2,1.01,2,2,0,0,0,0.20038,0,0,0,0.226957,2,4,0,1.02,0.031858,0
org.apache.lucene.analysis.ngram.EdgeNGramTokenFilter,1,0,0,0,0,0.029326,0,0,0,1.750899,0,0,0,3,0,5,0,0,0.805069,0,0,0,3,67,1,2,3,0,0,0,0,0,19,0,0,0.17703,0,0,3,1.01,7,4,0,0,0,0.205641,2.02,0,0.057725,0.226957,3,1,0,1.01,0.031091,0
org.apache.lucene.analysis.ngram.EdgeNGramTokenizer,0,0.016435,0,1.03,1.05,0.075891,0,0,0.021864,2.601404,0,0,1.01,3,0,3,0,1.02,1.026089,0,0,1.01,2,54,1,1,3,0,0,0,0,0,13,0.021296,0.019511,0.194961,0,1.01,2,2.02,10,7,0,0,0,0.22376,2.03,0,0.057725,0.036816,4,1,0,2.14,0.031091,0.020774
org.apache.lucene.analysis.ngram.NGramTokenFilter,1,0,0,0,0,0.018392,0,0,0,1.887923,0,0,0,2,0,4,0,0,1.555887,0,0,0,3,48,1,2,3,0,0,0,0,0,14,0,0,0.17703,0,0,3,1.01,5,3,0,0,0,0.50017,2.02,0,0.057725,0.226957,3,1,0,1.02,0.273376,0
org.apache.lucene.analysis.ngram.NGramTokenizer,0,0,0,0,0,0.064609,0,0,0,2.191778,0,0,0,2,0,3,0,0,1.633312,0,0,0,2,46,1,1,3,0,0,0,0,0,10,0,0,0,0,0,2,1.01,9,7,0,0,0,0.506141,2.03,0,0.057725,0.226957,4,1,0,0,0.273376,0
org.apache.lucene.analysis.nl.DutchAnalyzer,0,0,0,0,0,0.028855,0,0,0,2.942403,0,0,0,1,0,9,0,0,1.497108,0,0,0,7,65,0,5,2,0,0,0,0,0,20,0,0,0.011745,1.01,0,7,1.01,4,3,0,0,1.01,0.366714,3.05,0.013632,0.058468,0.011938,4,5,0.01037,1.12,0.242286,0
org.apache.lucene.analysis.nl.DutchStemFilter,0,0,0,0,1.01,0.013609,0,0,0.243494,2.807314,0,0,0,0,0,7,0,1.01,1.761996,0,0,0,4,41,1,4,3,1,0,0,0,0,16,0,0.244556,0.17703,0,0,5,1.03,2,2,0,0,0,0.510379,2.02,0,0.057725,0.226957,3,4,0,1.03,0.273376,0
